id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Recommend an Italian pasta dish for dinner
5,What's a spicy Thai curry recipe?
6,Show me a vegan dessert recipe
7,Gluten-free breakfast ideas, please
8,What can I make with salmon, spinach, and lemon?
9,Quick lunch for work with minimal prep
10,Easy dinner for two using only pantry staples
11,Healthy snack for kids after school
12,Give me a recipe under 30 minutes
13,Beginner-friendly baking recipe
14,Surprise me with something new
15,I want something sweet but healthy
16,What can I cook with just eggs and bread?
17,Best comfort food for a rainy day
